id;name;code;abr
21;Mòcheno;Mòcheno\N
22;Arosi;Arosi\N
23;Hano;Hano\N
24;Kambera;Kambera\N
25;Tolai;Tolai\N
26;Ontong Java;Ontong Java\N
27;Pitcairn-Norfolk;Pitcairn-Norfolk\N
28;Alu;Alu\N
29;Bontoc;Bontoc\N
30;Bughotu;Bughotu\N
31;Ligurian;Ligurian\N
32;Bau Bidayuh;Bau Bidayuh\N
33;Tagal Murut;Tagal Murut\N
34;Warrgamay;Warrgamay\N
35;Kaytetye;Kaytetye\N
36;Isnag;Isnag\N
37;Dharug;Dharug\N
38;Romagnol;Romagnol\N
39;Chaap Wuurong;Chaap Wuurong\N
40;Baba Malay;Baba Malay\N
41;Paumarí;Paumarí\N
42;Maroon Spirit Language;Maroon Spirit Language\N
43;Kankanaey;Kankanaey\N
44;Maranao;Maranao\N
45;Manggarai;Manggarai\N
46;Kölsch;Kölsch\N
47;Algonquin;Algonquin\N
48;Vurës;Vurës\N
49;Caló;Caló\N
50;Plautdietsch;Plautdietsch\N
51;Emilian;Emilian\N
52;Koasati;Koasati\N
53;Coatlán Mixe;Coatlán Mixe\N
54;Pirahã;Pirahã\N
55;Alune;Alune\N
56;Banda (Indonesia);Banda (Indonesia)\N
57;Banggai;Banggai\N
58;Brunei Bisaya;Brunei Bisaya\N
59;Eritai;Eritai\N
60;Emae;Emae\N
61;Futuna-Aniwa;Futuna-Aniwa\N
62;Kamarian;Kamarian\N
63;Tokelauan;Tokelauan\N
64;Dobu;Dobu\N
65;Mussau-Emira;Mussau-Emira\N
66;Numbami;Numbami\N
67;Ende;Ende\N
68;Mohegan-Pequot;Mohegan-Pequot\N
69;Kimaragang;Kimaragang\N
70;Hanunoo;Hanunoo\N
71;Meänkieli;Meänkieli\N
72;Central Kurdish;Central Kurdish\N
73;Xiang;Xiang\N
74;Lamaholot;Lamaholot\N
75;Bima;Bima\N
76;Sangir;Sangir\N
77;Asilulu;Asilulu\N
78;Itawit;Itawit\N
79;Maléku Jaíka;Maléku Jaíka\N
80;Kadiwéu;Kadiwéu\N
81;Kurnai;Kurnai\N
82;Tlingit;Tlingit\N
83;Dhudhuroa;Dhudhuroa\N
84;Middle Armenian;Middle Armenian\N
85;ǃXóõ;ǃXóõ\N
