id;name;code;abr
348;Buyeo;buy;\N
349;Cal�;cal;\N
350;Cantonese;can;\N
351;Carian;car;\N
352;Campidanese Sardinian;cas;\N
353;Catawba;cat;\N
354;Cebuano;ceb;\N
355;Cappadocian Greek;cgr;\N
356;Chagatai;chag;\N
357;Chickasaw;chc;\N
358;Chechen;chec;\N
359;Cheyenne;chey;\N
360;Chichewa;chic;\N
361;Chinook;chin;\N
362;Chiquitano;chiq;\N
363;Chiricahua;chir;\N
364;Chinook Jargon;chj;\N
365;Chamicuro;chmi;\N
366;Choctaw;choc;\N
367;Chol;chol;\N
368;Ch'orti';chor;\N
369;Chinese Pidgin English;chpe;\N
370;Chru;chru;\N
371;Chukchi;chuk;\N
372;Chuvash;chuv;\N
373;Cia-Cia;cia;\N
374;Cimbrian;cim;\N
375;Coastal Kadazan;cka;\N
376;Classical Nahuatl;cna;\N
377;Comanche;coma;\N
378;Coatl�n Mixe;comi;\N
379;Comorian;como;\N
380;Comox;comx;\N
381;Coptic;copt;\N
382;Cowlitz;cowl;\N
383;Creek;cre;\N
384;Crimean tatar;crt;\N
385;Crimean Tatar;ct;\N
386;Central Tarahumara;cta;\N
387;Central Atlas Tamazight;ctat;\N
388;Central Dusun;ctdu;\N
389;Central Siberian Yupik;ctsy;\N
390;Central Tagbanwa;ctta;\N
391;Cuiba;cui;\N
392;Dacian;dac;\N
393;Dadibi;dad;\N
394;Dakota;dak;\N
395;Dalmatian;dal;\N
396;Dargwa;darg;\N
397;Darling;darl;\N
398;Dhivehi;dhi;\N
399;Dhuwal;dhu;\N
400;Dieri;die;\N
401;Diitidaht;dii;\N
402;Dinka;din;\N
403;Darkinjung;dki;\N
404;Dena'ina;dni;\N
405;Dogrib;dog;\N
406;Dolgan;dol;\N
407;Dorze;dor;\N
408;Drents;dre;\N
409;Dungan;dun;\N
410;Dyirbal;dyi;\N
411;Eastern Arrernte;ear;\N
412;Eblaite;ebl;\N
413;Eastern Cham;ech;\N
414;Eastern Canadian Inuktitut;eci;\N
415;Eteocretan;ecr;\N
