Cicipu;awc
Cimbrian;cim
Cinamiguin Manobo;mkx
Cinda-Regi-Tiyal;cdr
Cineni;cie
Cinta Larga;cin
Cishingini;asg
Citak;txt
Ciwogai;tgd
Classical Mandaic;myz
Classical Mongolian;cmg
Classical Nahuatl;nci
Classical Newari;nwc
Classical Quechua;qwc
Classical Syriac;syc
Classical Tibetan;xct
C'lela;dri
Coahuilteco;xcw
Coast Miwok;csi
Coastal Kadazan;kzj
Coastal Konjo;kjc
Coatecas Altas Zapotec;zca
Coatepec Nahuatl;naz
Coatlán Mixe;mco
Coatlán Zapotec;zps
Coatzospan Mixtec;miz
Cocama-Cocamilla;cod
Cochimi;coj
Cocopa;coc
Cocos Islands Malay;coa
Coeur d'Alene;crd
Cofán;con
Cogui;kog
Col;liw
Colombian Sign Language;csn
Colonia Tovar German;gct
Colorado;cof
Columbia-Wenatchi;col
Comaltepec Chinantec;cco
Comanche;com
Comecrudo;xcm
Communicationssprache;art-com
Como Karim;cfg
Comorian;\N
Comox;coo
Con;cno
Côông;cnc
Coos;csz
Copainalá Zoque;zoc
Copala Triqui;trc
Coptic;cop
Coquille;coq
Cora;crn
Cori;cry
Cornish;kw
Corsican;co
Costa Rican Sign Language;csr
Cotabato Manobo;mta
Cotoname;xcn
Cowlitz;cow
Coxima;kox
Coyaima;coy
Coyotepec Popoloca;pbf
Coyutla Totonac;toc
Cree;cr
Creek;mus
Crimean Gothic;gme-cgo
Crimean Tatar;crh
Croatian Sign Language;csq
Cross River Mbembe;mfn
Crow;cro
Cruzeño;crz
Cua;cua
