'Are'are;alu
Bohtan Neo-Aramaic;bhn
Boikin;bzf
Boko;bqc
Bokobaru;bus
Bokoto;bdt
Bokyi;bky
Bola;bnp
Bolango;bld
Bole;bol
Bolgo;bvo
Bolia;bli
Bolinao;smk
Bolivian Sign Language;bvl
Boloki;bkt
Bolon;bof
Bolondo;bzm
Bolongan;blj
Bolyu;ply
Bom;bmf
Bomboli;bml
Bomboma;bws
Bomitaba;zmx
Bomu;bmq
Bomwali;bmw
Bonan;peh
Bondei;bou
Bondo;bfw
Bondoukou Kulango;kzc
Bondum Dom Dogon;dbu
Bonerate;bna
Bonggi;bdg
Bonggo;bpg
Bongili;bui
Bongo;bot
Bongu;bpu
Bonjo;bok
Bonkeng;bvg
Bonkiman;bop
Bookan;bnb
Boon;bnl
Boor;bvf
Borôro;bor
Bora;boa
Borei;gai
Borong;ksr
Boruca;brn
Boselewa;bwf
Bosngun;bqs
Bote-Majhi;bmj
Botlikh;bph
Botolan Sambal;sbl
Bouyei;pcc
Bozaba;bzo
Bragat;aof
Brahui;brh
Braj;bra
Brazilian Sign Language;bzs
Brem;buq
Breri;brq
Breton;br
Bribri;bzd
British Sign Language;bfi
Brokkat;bro
Brokpake;sgt
Brokskat;bkk
Brooke's Point Palawano;plw
Broome Pearling Lugger Pidgin;bpl
Brunei Bisaya;bsb
Brunei Malay;kxd
Bu-Nao Bunu;bwx
Bu;jid
Bua;bub
Bualkhaw Chin;cbl
Buamu;box
Bube;bvb
Bubi;buw
Bubia;bbx
Budibud;btp
Budong-Budong;bdx
Budu;buu
Budukh;bdk
Buduma;bdm
Budza;bja
Bugan;bbh
Bughotu;bgt
Buginese;bug
Buglere;sab
Bugun;bgg
Buhi'non Bikol;ubl
Buhid;bku
Buhutu;bxh
Bujhyal;byh
Bukar-Sadung Bidayuh;sdo
Bukat;bvk
Bukawa;buk
Bukhari;bhh
Bukit Malay;bvu
Bukitan;bkn
Bukiyip;ape
Bukusu;bxk
Bulgar;xbo
Bulgarian;bg
Bulgebi;bmp
Buli (Ghana);bwu
Buli (Indonesia);bzq
Bulo Stieng;sti
Bulu (Cameroon);bum
Bulu (New Guinea);bjl
Bum;bmv
Bumaji;byp
Bumbita Arapesh;aon
Bumthangkha;kjz
Bun;buv
Buna;bvn
Bunaba;bck
Bunak;bfn
Bunama;bdd
Bundeli;bns
Bung;bqd
Bungain;but
Bungku;bkz
Bungu;wun
Bunoge;dgb
Bunun;bnn
Buol;blf
Bura Mabang;mde
Bura;bwr
Burak;bys
Buraka;bkg
Burarra;bvr
Burate;bti
Burduna;bxn
Bure;bvh
Burji;bji
Burmbar;vrt
Burmese;my
Burmeso;bzu
Buru (Indonesia);mhs
Buru (Nigeria);bqw
Burui;bry
Burumakok;aip
Burun;bdi
Burunge;bds
Burushaski;bsk
Burusu;bqr
Buruwai;asi
Buryat;bua
Busa;bqp
Busam;bxs
Busami;bsm
Busang Kayan;bfg
Bushoong;buf
Buso;bso
Busoa;bup
Bussa;dox
Busuu;bju
Butbut Kalinga;kyb
Butmas-Tur;bnr
Butuanon;btw
Buwal;bhs
Buyeo;xpy
Buyu;byi
Bwa;bww
Bwaidoka;bwd
Bwanabwana;tte
Bwatoo;bwa
Bwe Karen;bwe
Bwela;bwl
Bwile;bwc
Bwisi;bwz
Byangsi;bee
Cèmuhî;cam
Caac;msq
Cabécar;cjp
Cabiyarí;cbb
Cacaloxtepec Mixtec;miu
Cacaopera;ccr
Cacgia Roglai;roc
Cacua;cbv
Caddo;cad
Cafundó;ccd
Cahuarano;cah
Cahuilla;chl
Cajonos Zapotec;zad
Caka;ckx
Cakfem-Mushere;cky
Caló;rmq
Calamian Tagbanwa;tbk
Caluyanun;clu
Camarines Norte Agta;abd
Cameroon Mambila;mcu
Cameroon Pidgin;wes
Campalagian;cml
Camsá;kbh
Camtho;cmt
Candoshi-Shapra;cbu
Canela;ram
Canichana;caz
Cantonese;yue
Caolan;mlc
Capanahua;kaq
Capiznon;cps
Cappadocian Greek;cpg
Caquinte;cot
Car Nicobarese;caq
Cara;cfd
Carabayo;cby
Caramanta;crf
Carapana;cbc
Carian;xcr
Caribbean Hindustani;hns
Caribbean Javanese;jvn
Carijona;cbd
Carolina Algonquian;crr
Carolinian;cal
Carpathian Romani;rmc
Carpathian Rusyn;rue
Carrier;crx
Cashibo-Cacataibo;cbr
Cashinahua;cbs
Casiguran Dumagat Agta;dgc
Casuarina Coast Asmat;asc
Catalan Sign Language;csc
Catalan;ca
Catawba;chc
Cauca;cca
Cavineña;cav
Cayubaba;cyb
Cayuga;cay
Cebuano;ceb
Celtiberian;xce
Cen;cen
Centúúm;cet
Central Asmat;cns
Central Atlas Tamazight;tzm
Central Awyu;awu
Central Bai;bca
Central Bontoc;lbk
Central Cagayan Agta;agt
Central Dusun;dtp
Central Grebo;grv
Central Huasteca Nahuatl;nch
Central Kurdish;ckb
Central Mahuatlán Zapoteco;zam
Central Malay;pse
Central Masela;mxz
Central Mazahua;maz
Central Melanau;mel
Central Min;czo
Central Mnong;cmo
Central Nahuatl;nhn
Central Nicobarese;ncb
Central Ojibwa;ojc
Central Palawano;plc
Central Pame;pbs
Central Pomo;poo
Central Puebla Nahuatl;ncx
Central Sama;sml
Central Siberian Yupik;ess
Central Sierra Miwok;csm
Central Subanen;syb
Central Tagbanwa;tgt
Central Tarahumara;tar
Central Tunebo;tuf
Cerma;cme
Ch'orti';caa
Chácobo;cao
Chaap Wuurong;tjw
Chachi;cbi
Chadian Arabic;shu
