Quapaw;qua
Tsakonian;tsd
Tausug;tsg
Tsimshian;tsi
Tshangla;tsj
Thai Sign Language;tsq
Akei;tsr
Tsou;tsu
Tutelo;tta
Bwanabwana;tte
Tuotomb;ttf
Tutong;ttg
Tobati;tti
Tooro;ttj
Totoro;ttk
Totela;ttl
Northern Tutchone;ttm
Isan;tts
Tat;ttt
Wiarumus;tua
Tübatulabal;tub
Mutu;tuc
Tuyuca;tue
Central Tunebo;tuf
Tupuri;tui
Tumbuka;tum
Tunica;tun
Tucano;tuo
Tuscarora;tus
Tututni;tuu
Turkana;tuv
Tuxináwa;tux
Turka;tuz
Vaghua;tva
Te'un;tve
Southeast Ambrym;tvk
Tuvaluan;tvl
Tavoyan;tvn
Tidore;tvo
Taveta;tvs
Taivoan;tvx
Timor Pidgin;tvy
Twana;twa
Teiwa;twe
Taos;twf
Tai Dón;twh
Tawang Monpa;twm
Ere;twp
Southwestern Tarahumara;twr
Turiwára;twt
Termanu;twu
Tombonuo;txa
Tocharian B;txb
Tsetsaut;txc
Totoli;txe
Tangut;txg
Thracian;txh
Ikpeng;txi
Tarjumo;txj
Tomini;txm
West Tarangan;txn
Toto;txo
Tonsea;txs
Kayapó;txu
Tauya;tya
Kyenga;tye
Tai Do;tyj
Kuku-Thaypan;typ
Tai Daeng;tyr
Sapa;tys
Tuvan;tyv
Teke-Tyee;tyx
Tày;tyz
Tzeltal;tzh
Tz'utujil;tzj
Talossan;tzl
Central Atlas Tamazight;tzm
Tzotzil;tzo
Tabriak;tzx

