Ghotuo;aaa
Amanab;amn
Amo;amo
Alamblak;amp
Amahai;amq
Amarakaeri;amr
Southern Amami Ōshima;ams
Amto;amt
Guerrero Amuzgo;amu
Ambelau;amv
Western Neo-Aramaic;amw
Anmatyerre;amx
Ami;amy
Atampaya;amz
Andoa;anb
Ngas;anc
Ansus;and
Xârâcùù;ane
Animere;anf
Old English;ang
Nend;anh
Andi;ani
Anor;anj
Goemai;ank
Anu;anl
Anāl;anm
Obolo;ann
Andoque;ano
Angika;anp
Jarawa;anq
Andh;anr
Anserma;ans
Antakarinya;ant
Anuak;anu
Denya;anv
Anaang;anw
Andra-Hus;anx
Anyi;any
Anem;anz
Angolar;aoa
Abom;aob
Pemon;aoc
Andarum;aod
Angal Enen;aoe
Bragat;aof
Angoram;aog
Anindilyakwa;aoi
Mufian;aoj
Arhö;aok
Alorese;aol
Ömie;aom
Bumbita Arapesh;aon
Aore;aor
Taikat;aos
Atong (India);aot
A'ou;aou
Atorada;aox
Uab Meto;aoz
Sa'a;apb
North Levantine Arabic;apc
Sudanese Arabic;apd
Bukiyip;ape
Pahanan Agta;apf
Ampanang;apg
Athpare;aph
Apiaká;api
Jicarilla;apj
Plains Apache;apk
Lipan;apl
Chiricahua;apm
Apinayé;apn
Ambul;apo
Apma;app
A-Pucikwar;apq
Arop-Lokep;apr
Arop-Sissano;aps
Apatani;apt
Apurinã;apu
Alapmunte;apv
Western Apache;apw
Aputai;apx
Apalaí;apy
Safeyoka;apz
Archi;aqc
Ampari Dogon;aqd
Arigidi;aqg
Atohwaim;aqm
Northern Alta;aqn
Atakapa;aqp
Arhâ;aqr
Angaité;aqt
Akuntsu;aqz
Aramaic;arc
Arabana;ard
Western Arrernte;are
Arhuaco;arh
Arikara;ari
Arapaso;arj
Arikapú;ark
Arabela;arl
Mapudungun;arn
Araona;aro
Arapaho;arp
Algerian Arabic;arq
Arara-Karo;arr
Najdi Arabic;ars
Arua;aru
Arbore;arv
Lokono;arw
Aruá;arx
Moroccan Arabic;ary
Egyptian Arabic;arz
Pare;asa
Assiniboine;asb
Casuarina Coast Asmat;asc
American Sign Language;ase
Auslan;asf
Cishingini;asg
Abishira;ash
Buruwai;asi
Nsari;asj
Ashkun;ask
Asilulu;asl
Xingú Asuriní;asn
Dano;aso
Austrian Sign Language;asq
Asuri;asr
Ipulo;ass
Asturian;ast
Tocantins Asurini;asu
Asoa;asv
Australian Aboriginal Sign Language;asw
Muratayak;asx
Yaosakor Asmat;asy
As;asz
Pele-Ata;ata
Zaiwa;atb
Atsahuaca;atc
Ata Manobo;atd
Atemble;ate
Okpela;atg
Attié;ati
Atikamekw;atj
Ati;atk
Mount Iraya Agta;atl
Ata;atm
Atong (Cameroon);ato
Pudtol Atta;atp
Aralle-Tabulahan;atq
Waimiri-Atroari;atr
Gros Ventre;ats
Pamplona Atta;att
Reel;atu
Northern Altai;atv
Atsugewi;atw
Aneityum;aty
Arta;atz
Asumboa;aua
Alugu;aub
Huaorani;auc
Anuta;aud
Aguna;aug
Aushi;auh
Anuki;aui
Awjila;auj
Heyo;auk
Aulua;aul
Asu;aum
Molmo One;aun
Auyokawa;auo
Makayam;aup
Anus;auq
Aruek;aur
Austral;aut
Auye;auu
Awyi;auw
Aurá;aux
Auyana;auy
Uzbeki Arabic;auz
Avau;avb
Alviri-Vidari;avd
Avikam;avi
Kotava;avk
Angkamuthi;avm
Avatime;avn
Agavotaguerra;avo
Aushiri;avs
Au;avt
Avokaya;avu
Avá-Canoeiro;avv
Awadhi;awa
Awa (New Guinea);awb
Cicipu;awc
Awetí;awe
Anguthimri;awg
Awbono;awh
Aekyom;awi
Awabakal;awk
Arawum;awm
Awngi;awn
Awak;awo
Awera;awr
South Awyu;aws
Araweté;awt
Central Awyu;awu
Jair Awyu;awv
Awun;aww
Awara;awx
Edera Awyu;awy
Abipón;axb
Ayerrerenge;axe
Aka (Central Africa);axk
Lower Southern Aranda;axl
Middle Armenian;axm
Xârâgurè;axx
Awar;aya
Ayizo;ayb
Ayabadhu;ayd
Ayere;aye
Nyanga (Togo);ayg
Leyigha;ayi
Akuku;ayk
Libyan Arabic;ayl
Yemeni Arabic;ayn
Ayoreo;ayo
North Mesopotamian Arabic;ayp
Ayi;ayq
Sorsogon Ayta;ays
Bataan Ayta;ayt
Ayu;ayu
Tayabas Ayta;ayy
Maybrat;ayz
Azha;aza
Eastern Durango Nahuatl;azd
San Pedro Amuzgos Amuzgo;azg
Ipalapa Amuzgo;azm
Western Durango Nahuatl;azn
Awing;azo
Faire Atta;azt
Highland Puebla Nahuatl;azz
